Key,Translation
"UI_CHARACTER_CREATION",Character Creation
"UI_CC_LABEL_NAME",Your Name
"UI_CC_LABEL_PRONOUNS",Your Pronouns
"UI_CC_LABEL_FAVORITE_COLOR",Favourite Colour
"UI_CC_LABEL_SKIN_COLOR",Skin Colour
"UI_CC_LABEL_HAIR",Hair Style
"UI_CC_LABEL_HAIR_COLOR",Hair Colour
"UI_CC_LABEL_HAIR_ACCESSORY_COLOR",Hair Accessory Colour
"UI_CC_LABEL_HEAD",Face
"UI_CC_LABEL_EYE_COLOR",Eye Colour
"UI_CC_LABEL_FACE_ACCESSORY_COLOR",Face Accessory Colour
"UI_CC_LABEL_BODY",Top
"UI_CC_LABEL_BODY_COLOR_1",Top Colour 1
"UI_CC_LABEL_BODY_COLOR_2",Top Colour 2
"UI_CC_LABEL_LEGS",Bottom
"UI_CC_LABEL_LEGS_COLOR",Bottom Colour
"UI_CC_LABEL_SHOE_COLOR",Shoe Colour
"UI_CC_RANDOMIZE",Randomise
"UI_BUTTON_SAVE_CHANGES",Apply & Save Changes
"UI_BUTTON_CANCEL",Cancel
"END_PART10_ALEPH1",I SEE.
"KUNEKO_NAME",Kuneko
"KUNEKOS_RETURN_EVOLUTION",[shake rate=30 level=10]Huh?![/shake] I won’t be defeated so easily, y’know!
"FELIX_NAME",Felix
"KUNEKOS_RETURN_EVOLUTION_FELIX",Go on, Kuneko! I know you’ve got it in you!
"UI_BATTLE_OPPOSING_TEAM_PREVIEW_TOOLTIP",The opposing team’s reinforcements.
"MEREDITH_NAME",Meredith
"SPLASH",SPLASH
"TRAFFINADE",TRAFFINADE
"UI_BUTTON_MOVE_PASSIVE",Passive
"MOVE_DESCRIPTION_POWER",Power: {power}
"MOVE_DESCRIPTION_HITS",Hits: {hits}
"MOVE_DESCRIPTION_ACCURACY",Accuracy: {0}%
"UI_BATTLE_UNOBTAINED_ICON_TOOLTIP",This species isn’t in your bestiary.
"BATTLE_FAILED",Failed!
"BATTLE_VICTORY",VICTORY!
"BATTLE_WON",The battle was won!
"MAIN_CREDITS_LICENSES_FONTS_ICONS",Fonts & Icons
"MAIN_CREDITS_TITLE",Cassette Beasts
"MAIN_CREDITS_GAME_DESIGN",Game Design
"MAIN_CREDITS_WRITING",Writing
"MAIN_CREDITS_PROGRAMMING",Programming
"MAIN_CREDITS_ART_DIRECTION",Art Direction
"MAIN_CREDITS_PIXEL_ART_ANIMATION",Pixel Art & Animation
"MAIN_CREDITS_CHARACTER_ILLUSTRATIONS",Character Illustrations
"MAIN_CREDITS_ADDITIONAL_MONSTER_DESIGNS",Additional Monster Designs
"MAIN_CREDITS_MUSIC",Music
"MAIN_CREDITS_VOICE_CASTING",Voice Casting & Direction
"MAIN_CREDITS_VOICE_CAST",Voice Cast
"KAYLEIGH_NAME",Kayleigh
"EUGENE_NAME",Eugene
"VIOLA_NAME",Viola
"AA_ALEPH_NAME",Aleph
"AA_MORGANTE_NAME",Morgante
"IANTHE_NAME_SHORT",Ianthe
"RANGER_TRADER_NAME_SHORT",Wilma
"CAPTAIN_WALLACE_NAME",Captain Wallace
"CAPTAIN_SKIP_NAME",Captain Skip
"CAPTAIN_ZEDD_NAME",Captain Zedd
"CAPTAIN_JUDAS_NAME",Captain Judas
"CAPTAIN_CLEEO_NAME",Captain Clee-O
"CAPTAIN_LODESTEIN_NAME",Captain Lodestein
"CAPTAIN_DREADFUL_NAME",Captain Penny Dreadful
"CAPTAIN_GLADIOLA_NAME",Captain Gladiola
"CAPTAIN_HEATHER_NAME",Captain Heather
"CAPTAIN_BUFFY_NAME",Captain Buffy
"CAPTAIN_CYBIL_NAME",Captain Cybil
"CAPTAIN_CODEY_NAME",Captain Codey
"AMBER_NAME",Ms. Amber
"DORIAN_NAME",Dorian
"JACQUELINE_NAME",Jacqueline
"CLEMENCE_NAME",Clémence
"PENSBY_NAME",Doctor Pensby
"SUNNY_NAME",Sunny
"HOYLAKE_NAME",Hoylake
"MAIN_CREDITS_VOICE_CAST_ADDITIONAL",Additional Voices
"MAIN_CREDITS_LOCALISATION_RIOTLOC",Localisation by Riotloc
"MAIN_CREDITS_LOCALISATION_COORDINATION",Coordination
"MAIN_CREDITS_LOCALISATION_QA",Localisation QA
"MAIN_CREDITS_LOCALISATION_KAKEHASHI",Localisation by Kakehashi Games
"MAIN_CREDITS_QA_SUN_TECH",QA by Sun Technologies
"MAIN_CREDITS_QA_DIRECTOR",QA Director
"MAIN_CREDITS_QA_MANAGER",QA Manager
"MAIN_CREDITS_PROJECT_MANAGER",Project Manager
"MAIN_CREDITS_QA_TEST_LEAD",QA Test Lead
"MAIN_CREDITS_QA_TESTERS",QA Testers
"MAIN_CREDITS_IMAGE_ARCHIVES",Image Archives
"MAIN_CREDITS_GODOT_ENGINE",Godot Engine
"MAIN_CREDITS_AND_OTHERS",& many others!
"MAIN_CREDITS_SPECIAL_THANKS",Special Thanks
"AA_MORGANTE_FULL_NAME",Archangel Morgante
"MAIN_CREDITS_THANK_YOU",Thank you so much for playing!
"MAIN_CREDITS_VIEW_LICENSES",View Licenses
"PRECREDITS_1",CASSETTE BEASTS
"PRECREDITS_2",A GAME BY
"PRECREDITS_3",ART
"PRECREDITS_4",WRITING
"PRECREDITS_5",PROGRAMMING
"PRECREDITS_6",DESIGN
"PRECREDITS_7",SOUNDTRACK BY
"PRECREDITS_8",FEATURING VOCALS BY
"PRECREDITS_9",CREATURE ANIMATION
"PRECREDITS_10",CHARACTER ILLUSTRATION
"PRECREDITS_12",PUBLISHED BY
"UI_GAME_OVER",GAME OVER
"MOVE_LIGHTNING_BOLT_NAME",Lightning Bolt
"MOVE_CATEGORY_RANGED",Ranged Attack
"MOVE_DESCRIPTION_HIT_ONE",Hits one target.
"DEFAULT_PLAYER_NAME",Cass
"END_PART9_MORGANTE5",YOU’LL USE SOMETHING WITHOUT EVEN KNOWING HOW IT WORKS.

SO EAGER IN YOUR NAIVETY.
"END_PART9_MORGANTE5_OPTION1",Are you here to mock me?
"END_PART9_MORGANTE6",IN THIS MOMENT, WE HAVE A SHARED GOAL.
"END_PART9_MORGANTE8_OPTION1",Understand what?
"END_PART9_MORGANTE9",YOU HUMANS CREATE US WITH YOUR DREAMS AND IDEALS.

THE POTENTIAL ENERGY OF MANKIND IS LIMITLESS.
"END_PART9_MORGANTE12",SO WAKE UP, ALREADY!
"INTERMISSION_PART4_AMBER14",The Amber Lodge is the real attraction.
"ALEPH_DIALOGUE_1_1",DON’T MIND ME!
"ALEPH_DIALOGUE_2_1",HMM. SOME HUMANS GOT IN HERE.
"ALEPH_DIALOGUE_3_1",I REMEMBER YOU! 
"ALEPH_DIALOGUE_3_2",AND I REALLY DON’T KNOW HOW YOU FOUND YOURSELVES DOWN HERE.
"ALEPH_DIALOGUE_4_1",YOU AND I...
"ALEPH_DIALOGUE_5_1",YOU DON’T QUIT, DO YOU?
"ALEPH_DIALOGUE_6_1",ALEPH_DIALOGUE_6_1
"ALEPH_DIALOGUE_7_1",YOU KNOW, YOU SHOULD SHOW ME A BIT MORE RESPECT. 
"ALEPH_DIALOGUE_8_1",WE GOTTA STOP MEETING LIKE THIS!
"ALEPH_DIALOGUE_9_1",MY NEW RECRUITS REALLY ARE A ROWDY BUNCH.
"ALEPH_DIALOGUE_10_1",YES, IT’S ME AGAIN, HERE TO RECRUIT THIS TALENTED INDIVIDUAL YOU’RE FIGHTING.
